Invoice Number,Customer Name,Ship To,Date,Ship Mode,Balance Due,Item,Quantity,Rate,Amount
36279,"Adam Hart
Ship To","92646, Huntington
Beach, California,
United States
Nov 15 2012
Standard Class
",Ship Mode,Balance Due,,"Labels, Office Supplies, OFF-LA-5591",44,10.44,1.51
12471,"Adam Shillingsburg
Ship To","Breda, North Brabant,
Netherlands
May 20 2012
Second Class
",Ship Mode,Balance Due,,,,,
40245,"Adam Shillingsburg
Ship To","92037, San Diego,
California, United
States
Dec 23 2012
First Class
",Ship Mode,Balance Due,,"Appliances, Office Supplies, OFF-AP-3367",97,13.97,2.16
,Jun 5,,Balance Due,,,,,,
40953,"Adam Shillingsburg
Ship To","10035, New York City,
New York, United
States
Sep 21 2012
Standard Class
",Ship Mode,Balance Due,,"Binders, Office Supplies, OFF-BI-3729",98,3.98,0.80
40954,"Adam Shillingsburg
Ship To","10035, New York City,
New York, United
States
Sep 21 2012
Standard Class
",Ship Mode,Balance Due,,"Art, Office Supplies, OFF-AR-3285",16,52.16,1.16
40955,"Adam Shillingsburg
Ship To","10035, New York City,
New York, United
States
Sep 21 2012
Standard Class
",Ship Mode,Balance Due,,"$2,318.11",5430,231.81,64.56
25445,"Adrian Barton
Ship To","Kochi, Kerala, India
Dec 27 2012
First Class
",Ship Mode,Balance Due,,,,,
35579,"Adrian Barton
Ship To","46203, Indianapolis,
Indiana, United
States
Dec 19 2012
First Class
",Ship Mode,Balance Due,,1,487,3.69,3.69
35580,"Adrian Barton
Ship To","46203, Indianapolis,
Indiana, United
States
Dec 19 2012
First Class
",Ship Mode,Balance Due,,,,,
33399,"Adrian Hane
Ship To","85705, Tucson,
Arizona, United
States
Jul 17 2012
Same Day
",Ship Mode,Balance Due,,"$1,036.54",5428,207.31,31.15
39793,"Aimee Bixby
Ship To","10701, Yonkers, New
York, United States
Mar 04 2012
Second Class
",Ship Mode,Balance Due,,3,345,59.52,178.56
39794,"Aimee Bixby
Ship To","10701, Yonkers, New
York, United States
Mar 04 2012
Second Class
",Ship Mode,Balance Due,,,,,
39795,"Aimee Bixby
Ship To","10701, Yonkers, New
York, United States
Mar 04 2012
Second Class
",Ship Mode,Balance Due,,"Supplies, Office Supplies, OFF-SU-2972",24,37.24,1.91
39796,"Aimee Bixby
Ship To","10701, Yonkers, New
York, United States
Mar 04 2012
Second Class
",Ship Mode,Balance Due,,"Binders, Office Supplies, OFF-BI-4378",79,297.79,59.56
39797,"Aimee Bixby
Ship To","10701, Yonkers, New
York, United States
Mar 04 2012
Second Class
",Ship Mode,Balance Due,,2,1891,97.82,195.64
36600,"Alan Barnes
Ship To","62521, Decatur,
Illinois, United States
Nov 15 2012
Standard Class
",Ship Mode,Balance Due,,"Chairs, Furniture, FUR-CH-5790",59,74.59,22.38
1626,"Alan Dominguez
Ship To","Manaus, Amazonas,
Brazil
Aug 15 2012
First Class
",Ship Mode,Balance Due,,,,,
31421,"Alan Dominguez
Ship To","77041, Houston,
Texas, United States
Dec 25 2012
Second Class
",Ship Mode,Balance Due,,"$1,801.67",4400,540.50,58.54
,Jun 5,,Balance Due,,,,,,
22343,"Alan Haines
Ship To","Delhi, Delhi, India
Dec 20 2012
First Class
",Ship Mode,Balance Due,,"Chairs, Furniture, FUR-CH-5368",36,735.36,68.59
29721,"Alan Haines
Ship To","Antipolo, Calabarzon,
Philippines
Nov 24 2012
Standard Class
",Ship Mode,Balance Due,,,,,
36551,"Alan Haines
Ship To","18018, Bethlehem,
Pennsylvania, United
States
Mar 05 2013
Second Class
",Ship Mode,Balance Due,,"Chairs, Furniture, FUR-CH-6016",74,198.74,59.62
36552,"Alan Haines
Ship To","18018, Bethlehem,
Pennsylvania, United
States
Mar 05 2013
Second Class
",Ship Mode,Balance Due,,"Furnishings, Furniture, FUR-FU-2864",14,67.14,13.43
42998,"Alan Haines
Ship To","Waterloo, Ontario,
Canada
Aug 08 2012
Standard Class
",Ship Mode,Balance Due,,"Envelopes, Office Supplies, OFF-EN-3089",04,527.04,7.97
5873,"Alan Haines
Ship To","San Salvador, San
Salvador, El Salvador
Jan 17 2012
Standard Class
",Ship Mode,Balance Due,,"$15,527.06",4574,31.05,159.52
14266,"Alan Hwang
Ship To","Paris, Ile",Ship Mode,Balance Due,,,,,
14267,"Alan Hwang
Ship To","Paris, Ile",Ship Mode,Balance Due,,"$1,112.45",4259,111.25,74.42
14269,"Alan Hwang
Ship To","Paris, Ile",Ship Mode,Balance Due,,"$1,137.86",3599,170.68,81.24
28262,"Alan Hwang
Ship To","Baotou, Inner
Mongolia, China
Dec 05 2012
First Class
",Ship Mode,Balance Due,,,,,
35712,"Alan Hwang
Ship To","94122, San
Francisco, California,
United States
Nov 28 2012
Standard Class
",Ship Mode,Balance Due,,"$1,151.84",6413,230.37,17.88
35713,"Alan Hwang
Ship To","94122, San
Francisco, California,
United States
Nov 28 2012
Standard Class
",Ship Mode,Balance Due,,"Fasteners, Office Supplies, OFF-FA-6129",00,152.00,2.12
33272,"Alan Schoenberger
Ship To","36116, Montgomery,
Alabama, United
States
Oct 17 2012
Second Class
",Ship Mode,Balance Due,,"Storage, Office Supplies, OFF-ST-4456",91,827.91,36.12
33273,"Alan Schoenberger
Ship To","36116, Montgomery,
Alabama, United
States
Oct 17 2012
Second Class
",Ship Mode,Balance Due,,,,,
33274,"Alan Schoenberger
Ship To","36116, Montgomery,
Alabama, United
States
Oct 17 2012
Second Class
",Ship Mode,Balance Due,,,,,
31899,"Alan Shonely
Ship To","33614, Tampa,
Florida, United States
Mar 14 2012
Standard Class
",Ship Mode,Balance Due,,"Storage, Office Supplies, OFF-ST-4752",78,142.78,28.56
31900,"Alan Shonely
Ship To","33614, Tampa,
Florida, United States
Mar 14 2012
Standard Class
",Ship Mode,Balance Due,,"Furnishings, Furniture, FUR-FU-4048",09,137.09,27.42
31901,"Alan Shonely
Ship To","33614, Tampa,
Florida, United States
Mar 14 2012
Standard Class
",Ship Mode,Balance Due,,"Binders, Office Supplies, OFF-BI-4885",65,21.65,15.16
31902,"Alan Shonely
Ship To","33614, Tampa,
Florida, United States
Mar 14 2012
Standard Class
",Ship Mode,Balance Due,,"Binders, Office Supplies, OFF-BI-4375",75,172.75,120.93
31903,"Alan Shonely
Ship To","33614, Tampa,
Florida, United States
Mar 14 2012
Standard Class
",Ship Mode,Balance Due,,3,1889,131.90,395.71
,Jun 5,,Balance Due,,,,,,
43048,"Alan Shonely
Ship To","Vaughan, Ontario,
Canada
Sep 20 2012
Second Class
",Ship Mode,Balance Due,,"Labels, Office Supplies, OFF-LA-6054",80,4.80,1.35
40780,"Alejandro Ballentine
Ship To","90008, Los Angeles,
California, United
States
Jul 21 2012
Standard Class
",Ship Mode,Balance Due,,"Art, Office Supplies, OFF-AR-3853",08,118.08,1.37
24518,"Alejandro Grove
Ship To","Shantou,
Guangdong, China
Jan 11 2013
Standard Class
",Ship Mode,Balance Due,,,,,
31314,"Alejandro Grove
Ship To","84084, West Jordan,
Utah, United States
May 12 2012
Second Class
",Ship Mode,Balance Due,,"Storage, Office Supplies, OFF-ST-4290",00,111.00,1.82
38707,"Alejandro Grove
Ship To","10011, New York City,
New York, United
States
Jul 22 2012
First Class
",Ship Mode,Balance Due,,"Accessories, Technology, TEC-AC-3748",96,199.96,22.93
20581,"Alejandro Savely
Ship To","Kanpur, Uttar
Pradesh, India
Nov 08 2012
First Class
",Ship Mode,Balance Due,,"Phones, Technology, TEC-PH-5351",16,551.16,83.73
20583,"Alejandro Savely
Ship To","Kanpur, Uttar
Pradesh, India
Nov 08 2012
First Class
",Ship Mode,Balance Due,,,,,
41450,"Alejandro Savely
Ship To","Kaliningrad,
Kaliningrad, Russia
Aug 16 2012
First Class
",Ship Mode,Balance Due,,,,,
33911,"Aleksandra
Gannaway
Ship To","90049, Los Angeles,
California, United
States
Apr 25 2012
Standard Class
",Ship Mode,Balance Due,,"Chairs, Furniture, FUR-CH-3433",84,690.84,138.17
,Jun 5,,Balance Due,,,,,,
33526,"Alex Avila
Ship To","94122, San
Francisco, California,
United States
Mar 30 2012
Standard Class
",Ship Mode,Balance Due,,"$1,347.14",4337,269.43,54.96
33527,"Alex Avila
Ship To","94122, San
Francisco, California,
United States
Mar 30 2012
Standard Class
",Ship Mode,Balance Due,,"Appliances, Office Supplies, OFF-AP-4242",96,105.96,3.17
38765,"Alex Avila
Ship To","10011, New York City,
New York, United
States
Sep 14 2012
Standard Class
",Ship Mode,Balance Due,,"Fasteners, Office Supplies, OFF-FA-6129",82,44.82,1.99
38766,"Alex Avila
Ship To","10011, New York City,
New York, United
States
Sep 14 2012
Standard Class
",Ship Mode,Balance Due,,"Furnishings, Furniture, FUR-FU-5174",12,29.12,1.31
18794,"Alex Grayson
Ship To","Aylesbury, England,
United Kingdom
Jul 19 2012
Second Class
",Ship Mode,Balance Due,,"Storage, Office Supplies, OFF-ST-4260",52,545.52,80.24
28157,"Alex Russell
Ship To","Ho Chi Minh City, Ho
Chí Minh City,
Vietnam
Jun 09 2012
First Class
",Ship Mode,Balance Due,,"Bookcases, Furniture, FUR-BO-5940",01,942.01,348.54
38655,"Alex Russell
Ship To","19143, Philadelphia,
Pennsylvania, United
States
Dec 29 2012
Second Class
",Ship Mode,Balance Due,,"$1,511.78",3827,604.71,28.56
38656,"Alex Russell
Ship To","19143, Philadelphia,
Pennsylvania, United
States
Dec 29 2012
Second Class
",Ship Mode,Balance Due,,"$1,571.29",4622,628.52,28.73
10670,"Alice McCarthy
Ship To","Harrogate, England,
United Kingdom
Aug 15 2012
Standard Class
",Ship Mode,Balance Due,,,,,
36714,"Alice McCarthy
Ship To","68104, Omaha,
Nebraska, United
States
Oct 05 2012
Second Class
",Ship Mode,Balance Due,,"Binders, Office Supplies, OFF-BI-4376",72,30.72,5.31
8673,"Alice McCarthy
Ship To","Choluteca,
Choluteca, Honduras
Sep 29 2012
Standard Class
",Ship Mode,Balance Due,,,,,
32104,"Allen Armold
Ship To","68104, Omaha,
Nebraska, United
States
Feb 02 2013
First Class
",Ship Mode,Balance Due,,"Furnishings, Furniture, FUR-FU-3836",80,56.80,14.94
32105,"Allen Armold
Ship To","68104, Omaha,
Nebraska, United
States
Feb 02 2013
First Class
",Ship Mode,Balance Due,,"Accessories, Technology, TEC-AC-4938",91,449.91,45.16
32469,"Allen Armold
Ship To","90008, Los Angeles,
California, United
States
Apr 20 2012
Standard Class
",Ship Mode,Balance Due,,"Binders, Office Supplies, OFF-BI-2938",60,82.60,16.52
34304,"Allen Armold
Ship To","91730, Rancho
Cucamonga,
California, United
States
Oct 23 2012
Standard Class
",Ship Mode,Balance Due,,"Binders, Office Supplies, OFF-BI-3306",82,102.82,20.56
36282,"Allen Goldenen
Ship To","10009, New York City,
New York, United
States
Sep 02 2012
Same Day
",Ship Mode,Balance Due,,5,514,14.40,72.00
39139,"Allen Goldenen
Ship To","22204, Arlington,
Virginia, United
States
Apr 18 2012
Second Class
",Ship Mode,Balance Due,,"Binders, Office Supplies, OFF-BI-4344",15,174.15,8.00
39140,"Allen Goldenen
Ship To","22204, Arlington,
Virginia, United
States
Apr 18 2012
Second Class
",Ship Mode,Balance Due,,11,232,71.28,784.08
27259,"Allen Rosenblatt
Ship To","Wuhan, Hubei, China
Jun 21 2012
First Class
",Ship Mode,Balance Due,,"$1,857.06",3627,928.53,107.12
33571,"Allen Rosenblatt
Ship To","90036, Los Angeles,
California, United
States
Oct 02 2012
Second Class
",Ship Mode,Balance Due,,"Tables, Furniture, FUR-TA-3426",43,143.43,28.69
33572,"Allen Rosenblatt
Ship To","90036, Los Angeles,
California, United
States
Oct 02 2012
Second Class
",Ship Mode,Balance Due,,"Chairs, Furniture, FUR-CH-4403",06,367.06,73.41
31634,"Alyssa Crouse
Ship To","94122, San
Francisco, California,
United States
Jul 11 2012
Standard Class
",Ship Mode,Balance Due,,"Binders, Office Supplies, OFF-BI-6321",42,15.42,3.08
31635,"Alyssa Crouse
Ship To","94122, San
Francisco, California,
United States
Jul 11 2012
Standard Class
",Ship Mode,Balance Due,,"$2,095.06",4622,419.01,90.81
32473,"Alyssa Tate
Ship To","90004, Los Angeles,
California, United
States
Dec 26 2012
Second Class
",Ship Mode,Balance Due,,"Fasteners, Office Supplies, OFF-FA-6129",24,46.24,1.06
41218,"Alyssa Tate
Ship To","44312, Akron, Ohio,
United States
Nov 23 2012
Standard Class
",Ship Mode,Balance Due,,"Binders, Office Supplies, OFF-BI-2907",23,17.23,12.06
36068,"Amy Cox
Ship To","85323, Avondale,
Arizona, United
States
Oct 30 2012
Second Class
",Ship Mode,Balance Due,,,,,
36350,"Amy Hunt
Ship To","75217, Dallas, Texas,
United States
Jan 02 2013
Second Class
",Ship Mode,Balance Due,,"$1,992.00",4140,398.40,25.58
36351,"Amy Hunt
Ship To","75217, Dallas, Texas,
United States
Jan 02 2013
Second Class
",Ship Mode,Balance Due,,3,317,7.06,21.17
36352,"Amy Hunt
Ship To","75217, Dallas, Texas,
United States
Jan 02 2013
Second Class
",Ship Mode,Balance Due,,,,,
,Jun 5,,Balance Due,,,,,,
27673,"Andrew Allen
Ship To","Jakarta, Jakarta,
Indonesia
Jun 23 2012
Standard Class
",Ship Mode,Balance Due,,"$4,773.33",5839,811.47,179.38
32756,"Andrew Allen
Ship To","6457, Middletown,
Connecticut, United
States
May 03 2012
Same Day
",Ship Mode,Balance Due,,"Furnishings, Furniture, FUR-FU-3924",92,54.92,6.23
12447,"Andrew Gjertsen
Ship To",Saint,Ship Mode,Balance Due,,"$2,029.10",5448,202.91,141.04
15999,"Andrew Gjertsen
Ship To",La Seyne,Ship Mode,Balance Due,,,,,
28750,"Andrew Gjertsen
Ship To","Xiangtan, Hunan,
China
Dec 05 2012
Standard Class
",Ship Mode,Balance Due,,,,,
36943,"Andrew Gjertsen
Ship To","22304, Alexandria,
Virginia, United
States
Jan 03 2013
Standard Class
",Ship Mode,Balance Due,,,,,
15115,"Andrew Roberts
Ship To","Toulon, Provence",Ship Mode,Balance Due,,,,,
21464,"Andrew Roberts
Ship To","Jining, Inner
Mongolia, China
Dec 23 2012
Standard Class
",Ship Mode,Balance Due,,,,,
31904,"Andrew Roberts
Ship To","19134, Philadelphia,
Pennsylvania, United
States
May 22 2012
Standard Class
",Ship Mode,Balance Due,,"Binders, Office Supplies, OFF-BI-3119",56,6.56,4.59
31905,"Andrew Roberts
Ship To","19134, Philadelphia,
Pennsylvania, United
States
May 22 2012
Standard Class
",Ship Mode,Balance Due,,9,317,21.17,190.51
31906,"Andrew Roberts
Ship To","19134, Philadelphia,
Pennsylvania, United
States
May 22 2012
Standard Class
",Ship Mode,Balance Due,,2,804,55.19,110.38
37121,"Andrew Roberts
Ship To","43229, Columbus,
Ohio, United States
May 01 2012
Same Day
",Ship Mode,Balance Due,,"Appliances, Office Supplies, OFF-AP-3364",41,78.41,15.68
31611,"Andy Gerbode
Ship To","33710, Saint
Petersburg, Florida,
United States
Aug 08 2012
Standard Class
",Ship Mode,Balance Due,,"Phones, Technology, TEC-PH-3160",77,356.77,71.35
31612,"Andy Gerbode
Ship To","33710, Saint
Petersburg, Florida,
United States
Aug 08 2012
Standard Class
",Ship Mode,Balance Due,,3,21,15.55,46.66
38585,"Andy Gerbode
Ship To","77095, Houston,
Texas, United States
Sep 01 2012
Standard Class
",Ship Mode,Balance Due,,"$1,679.13",4213,671.65,44.72
24876,"Andy Reiter
Ship To","Jodhpur, Rajasthan,
India
Jan 01 2013
Standard Class
",Ship Mode,Balance Due,,,,,
35286,"Andy Reiter
Ship To","2895, Woonsocket,
Rhode Island, United
States
Nov 24 2012
Second Class
",Ship Mode,Balance Due,,"Furnishings, Furniture, FUR-FU-3909",92,105.92,2.72
37312,"Andy Yotov
Ship To","90049, Los Angeles,
California, United
States
Apr 05 2012
Standard Class
",Ship Mode,Balance Due,,"Furnishings, Furniture, FUR-FU-6227",92,183.92,2.77
37313,"Andy Yotov
Ship To","90049, Los Angeles,
California, United
States
Apr 05 2012
Standard Class
",Ship Mode,Balance Due,,"Furnishings, Furniture, FUR-FU-3829",77,231.77,4.35
37314,"Andy Yotov
Ship To","90049, Los Angeles,
California, United
States
Apr 05 2012
Standard Class
",Ship Mode,Balance Due,,3,211,19.44,58.32
37315,"Andy Yotov
Ship To","90049, Los Angeles,
California, United
States
Apr 05 2012
Standard Class
",Ship Mode,Balance Due,,1,194,55.48,55.48
39986,"Andy Yotov
Ship To","19140, Philadelphia,
Pennsylvania, United
States
Dec 25 2012
Standard Class
",Ship Mode,Balance Due,,"Art, Office Supplies, OFF-AR-4099",05,24.05,4.81
8876,"Anemone Ratner
Ship To","Tegucigalpa,
Francisco Morazán,
Honduras
Apr 20 2012
First Class
",Ship Mode,Balance Due,,,,,
12988,"Angele Hood
Ship To","Ghent, East Flanders,
Belgium
Jun 07 2012
First Class
",Ship Mode,Balance Due,,,,,
35601,"Angele Hood
Ship To","98105, Seattle,
Washington, United
States
Oct 25 2012
Second Class
",Ship Mode,Balance Due,,"Furnishings, Furniture, FUR-FU-6234",68,255.68,3.50
35602,"Angele Hood
Ship To","98105, Seattle,
Washington, United
States
Oct 25 2012
Second Class
",Ship Mode,Balance Due,,"$1,919.80",6347,383.96,45.79
35427,"Ann Blume
Ship To","60623, Chicago,
Illinois, United States
Nov 17 2012
Standard Class
",Ship Mode,Balance Due,,"Binders, Office Supplies, OFF-BI-4377",40,72.40,57.92
35513,"Ann Blume
Ship To","90004, Los Angeles,
California, United
States
Feb 17 2013
Standard Class
",Ship Mode,Balance Due,,"Labels, Office Supplies, OFF-LA-6022",72,27.72,1.70
49366,"Ann Blume
Ship To","Tallinn, Harjumaa,
Estonia
Jan 24 2012
Same Day
",Ship Mode,Balance Due,,"Appliances, Office Supplies, OFF-AP-3578",97,560.97,133.57
49367,"Ann Blume
Ship To","Tallinn, Harjumaa,
Estonia
Jan 24 2012
Same Day
",Ship Mode,Balance Due,,,,,
42692,"Ann Chong
Ship To","Nairobi, Nairobi,
Kenya
Sep 30 2012
Standard Class
",Ship Mode,Balance Due,,,,,
33707,"Ann Steele
Ship To","19120, Philadelphia,
Pennsylvania, United
States
Jul 31 2012
Standard Class
",Ship Mode,Balance Due,,"Fasteners, Office Supplies, OFF-FA-2903",36,11.36,2.27
39387,"Ann Steele
Ship To","98103, Seattle,
Washington, United
States
Dec 06 2012
Standard Class
",Ship Mode,Balance Due,,,,,
51179,"Ann Steele
Ship To","Lagos, Lagos,
Nigeria
Jul 06 2012
Second Class
",Ship Mode,Balance Due,,"$1,824.78",83,164.81,946.86
35317,"Anna Andreadi
Ship To","19013, Chester,
Pennsylvania, United
States
Jun 21 2012
Standard Class
",Ship Mode,Balance Due,,"Chairs, Furniture, FUR-CH-5536",17,510.17,153.05
35318,"Anna Andreadi
Ship To","19013, Chester,
Pennsylvania, United
States
Jun 21 2012
Standard Class
",Ship Mode,Balance Due,,3,550,82.78,248.35
35319,"Anna Andreadi
Ship To","19013, Chester,
Pennsylvania, United
States
Jun 21 2012
Standard Class
",Ship Mode,Balance Due,,,,,
39300,"Anna Andreadi
Ship To","1852, Lowell,
Massachusetts,
United States
Nov 30 2012
First Class
",Ship Mode,Balance Due,,"Phones, Technology, TEC-PH-3795",80,543.80,62.54
,Jun 5,,Balance Due,,,,,,
39302,"Anna Andreadi
Ship To","1852, Lowell,
Massachusetts,
United States
Nov 30 2012
First Class
",Ship Mode,Balance Due,,"Furnishings, Furniture, FUR-FU-6331",64,19.64,1.27
36194,"Anna Chung
Ship To","44134, Parma, Ohio,
United States
Oct 14 2012
First Class
",Ship Mode,Balance Due,,"Chairs, Furniture, FUR-CH-4413",74,366.74,110.02
36195,"Anna Chung
Ship To","44134, Parma, Ohio,
United States
Oct 14 2012
First Class
",Ship Mode,Balance Due,,2,1897,7.97,15.94
42837,"Anna Gayman
Ship To","Vienna, Vienna,
Austria
Sep 01 2012
Same Day
",Ship Mode,Balance Due,,"Tables, Furniture, FUR-TA-4646",95,922.95,282.09
40216,"Anna Häberlin
Ship To","23464, Virginia
Beach, Virginia,
United States
Apr 01 2012
Standard Class
",Ship Mode,Balance Due,,"Furnishings, Furniture, FUR-FU-5158",36,355.36,10.84
19331,"Anne McFarland
Ship To","Trier, Rhineland",Ship Mode,Balance Due,,,,,
35500,"Anne McFarland
Ship To","2920, Cranston,
Rhode Island, United
States
Oct 30 2012
Second Class
",Ship Mode,Balance Due,,"Art, Office Supplies, OFF-AR-5156",25,246.25,2.26
,Jun 5,,Balance Due,,,,,,
35502,"Anne McFarland
Ship To","2920, Cranston,
Rhode Island, United
States
Oct 30 2012
Second Class
",Ship Mode,Balance Due,,"Furnishings, Furniture, FUR-FU-4054",52,29.52,2.37
35503,"Anne McFarland
Ship To","2920, Cranston,
Rhode Island, United
States
Oct 30 2012
Second Class
",Ship Mode,Balance Due,,"Binders, Office Supplies, OFF-BI-4364",16,68.16,1.37
35504,"Anne McFarland
Ship To","2920, Cranston,
Rhode Island, United
States
Oct 30 2012
Second Class
",Ship Mode,Balance Due,,"Furnishings, Furniture, FUR-FU-4109",01,53.01,1.53
35505,"Anne McFarland
Ship To","2920, Cranston,
Rhode Island, United
States
Oct 30 2012
Second Class
",Ship Mode,Balance Due,,,,,
,Jun 5,,Balance Due,,,,,,
32459,"Anne Pryor
Ship To","10035, New York City,
New York, United
States
Mar 02 2012
Standard Class
",Ship Mode,Balance Due,,"Phones, Technology, TEC-PH-5630",99,9.99,1.99
32460,"Anne Pryor
Ship To","10035, New York City,
New York, United
States
Mar 02 2012
Standard Class
",Ship Mode,Balance Due,,"Binders, Office Supplies, OFF-BI-4831",28,377.28,75.46
32461,"Anne Pryor
Ship To","10035, New York City,
New York, United
States
Mar 02 2012
Standard Class
",Ship Mode,Balance Due,,"Binders, Office Supplies, OFF-BI-3732",60,126.60,25.32
29368,"Annie Thurman
Ship To","Brisbane,
Queensland,
Australia
Jun 05 2012
Standard Class
",Ship Mode,Balance Due,,"$8,586.68",4590,858.67,140.62
,Jun 5,,Balance Due,,,,,,
37563,"Annie Thurman
Ship To","37211, Nashville,
Tennessee, United
States
Nov 02 2012
Standard Class
",Ship Mode,Balance Due,,"$1,294.70",6433,258.94,11.95
39757,"Annie Thurman
Ship To","6010, Bristol,
Connecticut, United
States
Aug 29 2012
Standard Class
",Ship Mode,Balance Due,,"Binders, Office Supplies, OFF-BI-6410",50,126.50,2.01
39758,"Annie Thurman
Ship To","6010, Bristol,
Connecticut, United
States
Aug 29 2012
Standard Class
",Ship Mode,Balance Due,,"Storage, Office Supplies, OFF-ST-4245",82,287.82,8.54
33729,"Annie Zypern
Ship To","10009, New York City,
New York, United
States
Mar 24 2012
Standard Class
",Ship Mode,Balance Due,,"$2,567.50",4840,256.75,30.43
36397,"Annie Zypern
Ship To","75217, Dallas, Texas,
United States
Mar 16 2012
Same Day
",Ship Mode,Balance Due,,2,333,4.45,8.90
36398,"Annie Zypern
Ship To","75217, Dallas, Texas,
United States
Mar 16 2012
Same Day
",Ship Mode,Balance Due,,1,1966,5.18,5.18
36399,"Annie Zypern
Ship To","75217, Dallas, Texas,
United States
Mar 16 2012
Same Day
",Ship Mode,Balance Due,,3,1967,15.55,46.66
767,"Annie Zypern
Ship To","León, León,
Nicaragua
Dec 28 2012
Second Class
",Ship Mode,Balance Due,,,,,
,Jun 5,,Balance Due,,,,,,
32162,"Anthony Jacobs
Ship To","22153, Springfield,
Virginia, United
States
Jan 11 2012
Standard Class
",Ship Mode,Balance Due,,1,482,2.89,2.89
,Jun 5,,Balance Due,,,,,,
37592,"Anthony Jacobs
Ship To","1915, Beverly,
Massachusetts,
United States
Dec 27 2012
Standard Class
",Ship Mode,Balance Due,,,,,
37593,"Anthony Jacobs
Ship To","1915, Beverly,
Massachusetts,
United States
Dec 27 2012
Standard Class
",Ship Mode,Balance Due,,,,,
37594,"Anthony Jacobs
Ship To","1915, Beverly,
Massachusetts,
United States
Dec 27 2012
Standard Class
",Ship Mode,Balance Due,,4,1906,141.76,567.04
37936,"Anthony Jacobs
Ship To","44052, Lorain, Ohio,
United States
Oct 30 2012
Second Class
",Ship Mode,Balance Due,,,,,
32065,"Anthony Johnson
Ship To","33710, Saint
Petersburg, Florida,
United States
May 13 2012
Standard Class
",Ship Mode,Balance Due,,"Furnishings, Furniture, FUR-FU-4113",76,621.76,124.35
35334,"Anthony Johnson
Ship To","94110, San
Francisco, California,
United States
Dec 28 2012
Standard Class
",Ship Mode,Balance Due,,"Furnishings, Furniture, FUR-FU-6101",50,124.50,2.06
35335,"Anthony Johnson
Ship To","94110, San
Francisco, California,
United States
Dec 28 2012
Standard Class
",Ship Mode,Balance Due,,4,1981,21.12,84.48
